2024-07-10T01:32:11.281+07:00Z&2203;v|89,23,27,37,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,27,37,47,0.00,"}
2024-07-10T01:37:16.772+07:00Z&2203;v|90,23,27,37,44,0.00,"};
2024-07-10T01:37:16.786+07:00Z&2203;v|90,23,27,37,44,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,27,37,44,0.00,"}
2024-07-10T01:42:22.265+07:00Z&2203;v|89,24,0,0,0,0.00,"};
2024-07-10T01:42:22.278+07:00Z&2203;v|89,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,0,0,0,0.00,"}
2024-07-10T01:47:27.778+07:00Z&2203;v|90,23,29,39,48,0.00,"};
2024-07-10T01:47:27.793+07:00Z&2203;v|90,23,29,39,48,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,29,39,48,0.00,"}
2024-07-10T01:52:33.281+07:00Z&2203;v|90,23,27,37,44,0.00,"};
2024-07-10T01:52:33.299+07:00Z&2203;v|90,23,27,37,44,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,27,37,44,0.00,"}
2024-07-10T01:57:38.791+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T01:57:38.803+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T02:02:44.307+07:00Z&2203;v|90,23,29,39,46,0.00,"};
2024-07-10T02:02:44.318+07:00Z&2203;v|90,23,29,39,46,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,29,39,46,0.00,"}
2024-07-10T02:07:49.816+07:00Z&2203;v|89,23,29,38,44,0.00,"};
2024-07-10T02:07:49.827+07:00Z&2203;v|89,23,29,38,44,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,29,38,44,0.00,"}
2024-07-10T02:12:55.324+07:00Z&2203;v|89,24,0,0,0,0.00,"};
2024-07-10T02:12:55.336+07:00Z&2203;v|89,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,0,0,0,0.00,"}
2024-07-10T02:18:00.823+07:00Z&2203;v|89,23,30,40,47,0.00,"};
2024-07-10T02:18:00.839+07:00Z&2203;v|89,23,30,40,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,30,40,47,0.00,"}
2024-07-10T02:23:06.344+07:00Z&2203;v|90,23,29,39,47,0.00,"};
2024-07-10T02:23:06.369+07:00Z&2203;v|90,23,29,39,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,29,39,47,0.00,"}
2024-07-10T02:28:11.827+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T02:28:11.837+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T02:33:17.350+07:00Z&2203;v|90,23,28,38,47,0.00,"};
2024-07-10T02:33:17.377+07:00Z&2203;v|90,23,28,38,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,28,38,47,0.00,"}
2024-07-10T02:38:22.851+07:00Z&2203;v|91,23,26,34,41,0.00,"};
2024-07-10T02:38:22.878+07:00Z&2203;v|91,23,26,34,41,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,26,34,41,0.00,"}
2024-07-10T02:43:28.353+07:00Z&2203;v|91,23,0,0,0,0.00,"};
2024-07-10T02:43:28.362+07:00Z&2203;v|91,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,0,0,0,0.00,"}
2024-07-10T02:48:33.855+07:00Z&2203;v|90,23,28,38,44,0.00,"};
2024-07-10T02:48:33.873+07:00Z&2203;v|90,23,28,38,44,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,28,38,44,0.00,"}
2024-07-10T02:53:39.378+07:00Z&2203;v|91,23,28,38,45,0.00,"};
2024-07-10T02:53:39.388+07:00Z&2203;v|91,23,28,38,45,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,28,38,45,0.00,"}
2024-07-10T02:58:44.863+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T02:58:44.873+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T03:03:50.376+07:00Z&2203;v|89,24,27,36,42,0.00,"};
2024-07-10T03:03:50.387+07:00Z&2203;v|89,24,27,36,42,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,27,36,42,0.00,"}
2024-07-10T03:08:55.901+07:00Z&2203;v|90,23,27,36,42,0.00,"};
2024-07-10T03:08:55.914+07:00Z&2203;v|90,23,27,36,42,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,27,36,42,0.00,"}
2024-07-10T03:14:01.392+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T03:14:01.403+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T03:19:06.903+07:00Z&2203;v|90,23,26,35,41,0.00,"};
2024-07-10T03:19:06.915+07:00Z&2203;v|90,23,26,35,41,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,26,35,41,0.00,"}
2024-07-10T03:24:12.400+07:00Z&2203;v|90,23,26,35,41,0.00,"};
2024-07-10T03:24:12.412+07:00Z&2203;v|90,23,26,35,41,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,26,35,41,0.00,"}
2024-07-10T03:29:17.912+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T03:29:17.923+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T03:34:23.411+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T03:34:23.422+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T03:39:28.922+07:00Z&2203;v|91,23,30,42,48,0.00,"};
2024-07-10T03:39:28.933+07:00Z&2203;v|91,23,30,42,48,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,30,42,48,0.00,"}
2024-07-10T03:44:34.426+07:00Z&2203;v|91,23,0,0,0,0.00,"};
2024-07-10T03:44:34.438+07:00Z&2203;v|91,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,0,0,0,0.00,"}
2024-07-10T03:49:39.933+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T03:49:39.947+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T03:54:45.437+07:00Z&2203;v|91,23,26,35,40,0.00,"};
2024-07-10T03:54:45.449+07:00Z&2203;v|91,23,26,35,40,0.00,"};&{"id": "c1151e2a","data": "ht120v|91,23,26,35,40,0.00,"}
2024-07-10T03:59:50.924+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T03:59:50.939+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T04:04:56.440+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T04:04:56.450+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T04:10:01.948+07:00Z&2203;v|90,23,27,37,46,0.00,"};
2024-07-10T04:10:01.981+07:00Z&2203;v|90,23,27,37,46,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,27,37,46,0.00,"}
2024-07-10T04:15:07.447+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T04:15:07.456+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T04:20:12.948+07:00Z&2203;v|90,23,0,0,0,0.00,"};
2024-07-10T04:20:12.960+07:00Z&2203;v|90,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,0,0,0,0.00,"}
2024-07-10T04:25:18.449+07:00Z&2203;v|90,23,28,38,45,0.00,"};
2024-07-10T04:25:18.464+07:00Z&2203;v|90,23,28,38,45,0.00,"};&{"id": "c1151e2a","data": "ht120v|90,23,28,38,45,0.00,"}
2024-07-10T04:30:23.950+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T04:30:23.964+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
2024-07-10T04:35:29.449+07:00Z&2203;v|89,24,0,0,0,0.00,"};
2024-07-10T04:35:29.464+07:00Z&2203;v|89,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,0,0,0,0.00,"}
2024-07-10T04:40:34.965+07:00Z&2203;v|89,23,28,38,43,0.00,"};
2024-07-10T04:40:34.977+07:00Z&2203;v|89,23,28,38,43,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,28,38,43,0.00,"}
2024-07-10T04:45:40.462+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T04:45:40.470+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
2024-07-10T04:50:45.975+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T04:50:45.986+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
2024-07-10T04:55:51.478+07:00Z&2203;v|89,23,26,34,43,0.00,"};
2024-07-10T04:55:51.487+07:00Z&2203;v|89,23,26,34,43,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,26,34,43,0.00,"}
2024-07-10T05:00:56.963+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T05:00:56.972+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
