timestamp,message
Timestamp,Message
13:27:52,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.57,""}"
13:27:53,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.55,""}"
13:27:54,78d7fb2f-84af-439b-86d3-48e62cd54f03
13:27:55,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.55,""}"
13:27:56,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.57,""}"
13:27:57,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,75,2,0.55,""}"
13:27:59,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,75,0,0.55,""}"
13:28:0,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,75,0,0.55,""}"
13:28:1,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,75,0,0.57,""}"
13:28:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,76,0,0.55,""}"
13:28:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,77,0,0.57,""}"
13:28:5,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,49,63,77,0,0.57,""}"
13:28:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,50,64,77,0,0.57,""}"
13:28:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,77,0,0.55,""}"
13:28:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,77,0,0.55,""}"
13:28:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,65,78,0,0.57,""}"
13:28:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,65,78,0,0.55,""}"
13:28:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,51,65,79,0,0.57,""}"
13:28:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,51,65,80,0,0.57,""}"
13:28:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,51,65,80,0,0.57,""}"
13:28:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,51,65,80,0,0.57,""}"
13:28:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,51,65,80,0,0.57,""}"
13:28:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,1,0.57,""}"
13:28:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.57,""}"
13:28:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.57,""}"
13:28:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.55,""}"
13:28:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.57,""}"
13:28:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.57,""}"
13:28:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,52,67,80,0,0.60,""}"
13:28:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,82,0,0.57,""}"
13:28:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,82,0,0.57,""}"
13:28:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,83,3,0.55,""}"
13:28:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,83,0,0.57,""}"
13:28:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,83,0,0.57,""}"
13:28:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,53,68,83,0,0.57,""}"
13:28:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,82,0,0.55,""}"
13:28:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,336,0.57,""}"
13:28:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,291,0.57,""}"
13:28:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.62,""}"
13:28:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,82,269,0.53,""}"
13:28:48,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.62,""}"
13:28:49,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:50,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,271,0.57,""}"
13:28:51,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:53,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:54,78d7fb2f-84af-439b-86d3-48e62cd54f03
13:28:54,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,272,0.60,""}"
13:28:55,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.60,""}"
13:28:57,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.57,""}"
13:28:58,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,68,83,269,0.60,""}"
13:28:59,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,69,84,269,0.51,""}"
13:29:0,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,35,53,69,84,269,0.57,""}"
